id,s_uuid_s,document_uuid_s,name_s,publicname_s,substanceType_s,owner_name_s,endpoint_s,effectendpoint_s,endpointcategory_s,guidance_s,loValue_d,unit_s,textValue_s
NWKI-0421354a-8202-46c9-9aa8-19c79c6f66d8/19566,NWKI-46cad88d-41a8-3eef-8f2f-733b76be4618,NWKI-0421354a-8202-46c9-9aa8-19c79c6f66d8,Lin2013 14,NiO,NPO_NiO,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,13.1,nm,
NWKI-497d46c6-3f58-4bde-95b3-39cf4ae4e174/19569,NWKI-214c6fcf-f4b1-3264-be4b-5a2bebf65522,NWKI-497d46c6-3f58-4bde-95b3-39cf4ae4e174,Lin2013 23,ZnO,NPO_1542,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,22.6,nm,
NWKI-0a615381-5c71-4151-9e93-0ad845547672/19578,NWKI-448f6f9b-90a1-3e7c-a5aa-5991df77a2b1,NWKI-0a615381-5c71-4151-9e93-0ad845547672,JRCNM02004a,SiO2 NM-204,NPO_1373,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,10.0,nm,
NWKI-eadb9eeb-ee85-4a11-832c-17dbb4160c68/19577,NWKI-448f6f9b-90a1-3e7c-a5aa-5991df77a2b1,NWKI-eadb9eeb-ee85-4a11-832c-17dbb4160c68,JRCNM02004a,SiO2 NM-204,NPO_1373,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,10.0,nm,
NWKI-237830d6-062b-40cb-a3ad-59173d45c831/19581,NWKI-895a506b-c331-3576-bf9e-cbcde5822c11,NWKI-237830d6-062b-40cb-a3ad-59173d45c831,Lesniak2013 NM1,Polymeric core 40 nm PS-COOH,NPO_1862,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,HYDRODYNAMIC_SIZE,PC_GRANULOMETRY_SECTION,,81.0,nm,
NWKI-679a524c-a9b1-463b-84ed-2cd73562a5de/19583,NWKI-895a506b-c331-3576-bf9e-cbcde5822c11,NWKI-679a524c-a9b1-463b-84ed-2cd73562a5de,Lesniak2013 NM1,Polymeric core 40 nm PS-COOH,NPO_1862,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,HYDRODYNAMIC_SIZE,PC_GRANULOMETRY_SECTION,,63.0,nm,
NWKI-9568f9f0-416c-4677-8255-29ee3ff2401d/19579,NWKI-895a506b-c331-3576-bf9e-cbcde5822c11,NWKI-9568f9f0-416c-4677-8255-29ee3ff2401d,Lesniak2013 NM1,Polymeric core 40 nm PS-COOH,NPO_1862,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,HYDRODYNAMIC_SIZE,PC_GRANULOMETRY_SECTION,,73.0,nm,
NWKI-c85a359f-bcdb-4bfe-bab4-ef2a5dd9cf11/19585,NWKI-69fa9265-308d-30c5-9d86-1f18cde14afb,NWKI-c85a359f-bcdb-4bfe-bab4-ef2a5dd9cf11,Wang2009 NM4,Al2O3 Bulk Al2O3,ENM_9000005,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,429.0,nm,
NWKI-3c3594c9-7eba-49f9-80f6-011a0afc15f1/19587,NWKI-0bdf93a7-39e2-3550-8b57-611afd3714c6,NWKI-3c3594c9-7eba-49f9-80f6-011a0afc15f1,Lin2013 19,TiO2,CHEBI_51050,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,12.6,nm,
NWKI-25014eb2-437f-4e43-b97e-1d788ed692f1/19591,NWKI-fe8fe744-ea1f-3841-9a6d-f81be44651a8,NWKI-25014eb2-437f-4e43-b97e-1d788ed692f1,Harper2011 7,Ag,NPO_1892,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,10.0,nm,
NWKI-ba17ce5a-5e16-4ea0-b5af-4650a89b39d4/19593,NWKI-3458952b-0311-34b0-8579-57fa3f36ca98,NWKI-ba17ce5a-5e16-4ea0-b5af-4650a89b39d4,Lin2013 10,HfO2,NPO_HfO2,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,28.4,nm,
NWKI-59272e94-d6ac-4292-94b5-bfacc8cc8674/19595,NWKI-80364e0e-be06-3645-a3ae-880ae0edddef,NWKI-59272e94-d6ac-4292-94b5-bfacc8cc8674,Cho2012 NM13,TiO2 TiO2NPb,CHEBI_51050,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,HYDRODYNAMIC_SIZE,PC_GRANULOMETRY_SECTION,DLS,119.0,nm,
NWKI-b0aeaba5-5ffa-4e63-8170-ba41c3b9b328/19596,NWKI-80364e0e-be06-3645-a3ae-880ae0edddef,NWKI-b0aeaba5-5ffa-4e63-8170-ba41c3b9b328,Cho2012 NM13,TiO2 TiO2NPb,CHEBI_51050,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,30.5,nm,
NWKI-7cc39c72-0b9b-4b27-b0b2-094fe1a0705c/19597,NWKI-e5063bbd-4c59-3e1e-9365-13ff9fd74cd6,NWKI-7cc39c72-0b9b-4b27-b0b2-094fe1a0705c,Midander2009 M2,Metal nanoparticle Cu nano,NPO_1384,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,,nm,
NWKI-c6fa8109-9df1-417d-ba99-7c8422ec30aa/19598,NWKI-2944da02-ade8-38cc-b547-504f6afcf25a,NWKI-c6fa8109-9df1-417d-ba99-7c8422ec30aa,Jugan5 R20,TiO2 R20,CHEBI_51050,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,PARTICLE SIZE,PC_GRANULOMETRY_SECTION,,21.0,nm,
NWKI-251ddb12-cf87-40a8-92c2-5f48dfe38337/19599,NWKI-823e6217-d5b0-3c61-b886-768cfe726d38,NWKI-251ddb12-cf87-40a8-92c2-5f48dfe38337,Cho2012 NM2,Al2O3 Al2O3NP,ENM_9000005,NanoWiki,FIBRE_LENGTH_AND_DIAMETER_DISTRIBUTION,HYDRODYNAMIC_SIZE,PC_GRANULOMETRY_SECTION,DLS,65.0,nm,
